City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,82.26,76,2,5.53,YE,1713650013
1,port-aux-francais,-49.35,70.2167,46.85,94,97,32.32,TF,1713650014
2,puerto ayora,-0.7393,-90.3518,82.36,94,63,3.0,EC,1713650015
3,lihue,21.9789,-159.3672,79.84,68,20,12.66,US,1713650017
4,atafu village,-8.5421,-172.5159,85.06,76,2,12.44,TK,1713650018
5,invercargill,-46.4,168.35,53.02,92,84,8.99,NZ,1713649847
6,maputo,-25.9653,32.5892,73.08,94,20,5.01,MZ,1713650020
7,dryden,49.7833,-92.7503,43.09,42,75,18.41,CA,1713650022
8,fonte boa,-2.4959,-66.2662,79.63,86,68,2.73,BR,1713650023
9,puerto natales,-51.7236,-72.4875,43.25,52,75,19.57,CL,1713649885
10,bethel,41.3712,-73.414,65.75,43,75,1.01,US,1713649770
11,dudinka,69.4058,86.1778,-9.38,100,98,1.25,RU,1713650028
12,gornopravdinsk,60.05,69.9,36.37,100,100,2.51,RU,1713650029
13,waitangi,-43.9535,-176.5597,57.81,96,100,1.99,NZ,1713650030
14,pechora,65.1472,57.2244,33.85,98,58,11.01,RU,1713650032
15,kodiak,57.79,-152.4072,38.71,93,100,8.05,US,1713650033
16,adamstown,-25.066,-130.1015,72.39,75,0,25.05,PN,1713650034
17,port lincoln,-34.7333,135.8667,56.41,80,2,7.9,AU,1713650036
18,bilibino,68.0546,166.4372,4.82,88,71,1.5,RU,1713650038
19,port alfred,-33.5906,26.891,69.19,95,100,1.01,ZA,1713650040
20,college,64.8569,-147.8028,57.52,31,0,4.61,US,1713650041
21,geraldton,-28.7667,114.6,59.41,41,0,12.66,AU,1713650043
22,villa gesell,-37.2639,-56.973,66.02,85,88,8.75,AR,1713649800
23,hays,30.0502,-98.0336,64.87,85,100,3.0,US,1713650047
24,lebu,-37.6167,-73.65,55.53,66,100,15.93,CL,1713650048
25,quellon,-43.1167,-73.6167,49.6,81,86,2.91,CL,1713650049
26,margaret river,-33.95,115.0667,59.41,50,37,4.27,AU,1713650051
27,metelen,52.1443,7.2127,41.92,70,91,10.29,DE,1713650052
28,punta arenas,-53.15,-70.9167,42.91,49,75,17.27,CL,1713649879
29,novovarshavka,54.1721,74.6946,52.74,74,5,8.99,RU,1713650054
30,kargil,34.5667,76.1,25.95,68,100,4.14,IN,1713650057
31,papatowai,-46.5619,169.4708,53.28,89,100,8.14,NZ,1713650059
32,thompson,55.7435,-97.8558,35.76,38,20,6.91,CA,1713650061
33,badger,64.8,-147.5333,57.45,29,0,4.61,US,1713650062
34,paciran,-6.8767,112.3761,78.67,91,79,7.47,ID,1713650064
35,la sarre,48.8002,-79.1996,37.42,65,100,14.07,CA,1713650066
36,ust-nera,64.5667,143.2,20.08,86,29,2.13,RU,1713650067
37,west island,-12.1568,96.8225,82.38,83,40,11.5,CC,1713650068
38,yellowknife,62.456,-114.3525,39.72,71,20,5.75,CA,1713650069
39,grytviken,-54.2811,-36.5092,41.56,98,100,3.29,GS,1713650071
40,gombi,10.1614,12.7399,90.27,21,85,3.06,NG,1713650074
41,tiksi,71.6872,128.8694,19.13,91,46,4.85,RU,1713650075
42,iqaluit,63.7506,-68.5145,19.13,73,100,12.66,CA,1713650077
43,rio de oro,8.2919,-73.3849,70.97,90,98,4.76,CO,1713650078
44,kharp,66.8014,65.8081,8.71,96,100,5.88,RU,1713650082
45,puerto baquerizo moreno,-0.9,-89.6,85.19,66,20,9.22,EC,1713650004
